regulator.values	target.values	mi.values	scc.values	count.values	log.p.values
ENSG00000173193	ENSG00000111729	0.0289988	0.13502	1	-2.46705
ENSG00000173193	ENSG00000176953	0.000800181	0.0374272	1	-2.46705
ENSG00000159388	ENSG00000087074	0.00541779	0.104529	1	-2.46705
ENSG00000159388	ENSG00000172795	0.000288058	-0.042301	1	-2.46705
ENSG00000159388	ENSG00000153147	0.00721738	-0.160742	1	-2.46705
ENSG00000153147	ENSG00000244509	0.0622927	0.0855585	2	-5.61736
ENSG00000153147	ENSG00000174231	0.0859809	0.0155296	1	-2.46705
ENSG00000153147	ENSG00000133398	0.00721738	0.128756	1	-2.46705
ENSG00000153147	ENSG00000174953	0.177065	0.113779	3	-9.18577
ENSG00000153147	ENSG00000181631	0.0658623	-0.0181224	1	-2.46705
ENSG00000153147	ENSG00000004534	0.0450235	0.0397289	2	-5.61736
ENSG00000153147	ENSG00000085832	0.0141791	0.11184	1	-2.46705
ENSG00000153147	ENSG00000159388	0.00721738	-0.160742	1	-2.46705
ENSG00000153147	ENSG00000173726	0.000288058	-0.0749392	1	-2.46705
ENSG00000153147	ENSG00000138398	0.0433621	0.111417	1	-2.46705
ENSG00000153147	ENSG00000172845	0.196949	-0.0406574	5	-17.1758
ENSG00000153147	ENSG00000080503	0.0115969	0.174757	1	-2.46705
ENSG00000153147	ENSG00000095370	0.189226	-0.0947193	2	-5.61736
ENSG00000153147	ENSG00000184014	0.243623	-0.0341401	1	-2.46705
ENSG00000153147	ENSG00000110422	0.0905887	0.0240384	2	-5.61736
ENSG00000153147	ENSG00000133316	0.00156882	0.0664158	1	-2.46705
ENSG00000153147	ENSG00000183049	0.00156882	0.0138377	1	-2.46705
ENSG00000153147	ENSG00000122359	0.00721738	-0.143934	2	-5.61736
ENSG00000153147	ENSG00000111729	0.130333	-0.061108	5	-17.1758
ENSG00000153147	ENSG00000139679	0.00156882	0.0772286	1	-2.46705
ENSG00000153147	ENSG00000176463	0.0397618	-0.0338567	1	-2.46705
ENSG00000153147	ENSG00000005339	0.00387704	-0.0134037	1	-2.46705
ENSG00000144747	ENSG00000143353	0.0589677	-0.0676577	1	-2.46705
ENSG00000144747	ENSG00000149781	0.0207778	0.00570288	1	-2.46705
ENSG00000141582	ENSG00000105383	0.00541779	0.0667176	1	-2.46705
ENSG00000137776	ENSG00000131504	0.104345	-0.0300957	1	-2.46705
ENSG00000137776	ENSG00000107372	0.0314015	0.212023	1	-2.46705
ENSG00000124788	ENSG00000172939	0.000288058	-0.030194	1	-2.46705
ENSG00000118579	ENSG00000099860	3.20002e-05	0.0703019	1	-2.46705
ENSG00000118579	ENSG00000109323	0.0220497	0.0407941	1	-2.46705
ENSG00000118579	ENSG00000090989	0.0379139	-0.0992291	1	-2.46705
ENSG00000114013	ENSG00000146192	0.0488004	-0.0264653	1	-2.46705
ENSG00000114013	ENSG00000166266	0.000288058	0.000329093	1	-2.46705
ENSG00000107438	ENSG00000005961	0.101753	0.112563	1	-2.46705
ENSG00000107438	ENSG00000005249	0.0151596	0.0880415	1	-2.46705
ENSG00000103671	ENSG00000102786	0.00541779	-0.120666	1	-2.46705
ENSG00000101773	ENSG00000213977	0.00387704	-0.0489773	1	-2.46705
ENSG00000101773	ENSG00000164221	0.0196312	-0.0341923	1	-2.46705
ENSG00000096401	ENSG00000099860	3.20002e-05	0.0404984	1	-2.46705
ENSG00000096401	ENSG00000170542	0.00387704	0.0869079	1	-2.46705
ENSG00000096401	ENSG00000136603	0.00259425	0.138607	1	-2.46705
ENSG00000096401	ENSG00000169826	0.195524	0.114356	2	-5.61736
ENSG00000096401	ENSG00000189067	0.00721738	0.063664	1	-2.46705
ENSG00000096401	ENSG00000153786	0.00156882	0.0377674	1	-2.46705
ENSG00000087152	ENSG00000100034	0.0518806	0.0464452	1	-2.46705
ENSG00000087152	ENSG00000068079	0.0392055	0.0248225	1	-2.46705
ENSG00000080503	ENSG00000105568	0.129045	-0.0206184	1	-2.46705
ENSG00000080503	ENSG00000197912	0.00387704	0.128479	1	-2.46705
ENSG00000080503	ENSG00000051620	0.00156882	0.0214725	1	-2.46705
ENSG00000080503	ENSG00000133398	0.00156882	-0.0912694	1	-2.46705
ENSG00000080503	ENSG00000153147	0.0115969	0.174757	1	-2.46705
ENSG00000080503	ENSG00000174953	0.147179	0.114734	1	-2.46705
ENSG00000080503	ENSG00000075292	0.000800181	0.0594614	1	-2.46705
ENSG00000080503	ENSG00000173198	0.000800181	0.023679	1	-2.46705
ENSG00000080503	ENSG00000168300	0.0914885	0.0551214	1	-2.46705
ENSG00000080503	ENSG00000133812	0.000288058	0.0561029	1	-2.46705
ENSG00000080503	ENSG00000012779	0.0540819	-0.0555023	1	-2.46705
ENSG00000080503	ENSG00000100603	0.088887	0.0640173	1	-2.46705
ENSG00000080503	ENSG00000167208	0.000800181	-0.056139	1	-2.46705
ENSG00000066117	ENSG00000126460	0.0942617	-0.0794059	1	-2.46705
ENSG00000198625	ENSG00000105568	0.00721738	-0.0376537	1	-2.46705
ENSG00000198625	ENSG00000064601	0.0170248	-0.144034	1	-2.46705
ENSG00000198625	ENSG00000108405	0.192019	0.0532528	2	-5.61736
ENSG00000198625	ENSG00000145833	0.000800181	-0.0597471	1	-2.46705
ENSG00000198625	ENSG00000177565	0.0591212	-0.0970741	1	-2.46705
ENSG00000198625	ENSG00000196154	0.0808207	0.0722918	1	-2.46705
ENSG00000198625	ENSG00000169764	0.00259425	-0.0577042	1	-2.46705
ENSG00000198625	ENSG00000172845	0.0920589	0.109265	2	-5.61736
ENSG00000198625	ENSG00000105939	0.0991689	0.00246263	2	-5.61736
ENSG00000198625	ENSG00000119403	0.00259425	0.0785796	1	-2.46705
ENSG00000198625	ENSG00000156587	0.00387704	-0.0229148	1	-2.46705
ENSG00000198625	ENSG00000133316	0.0835721	-0.105207	1	-2.46705
ENSG00000198625	ENSG00000125952	0.16536	-0.0785419	3	-9.18577
ENSG00000198625	ENSG00000100605	0.104374	-0.0448247	2	-5.61736
ENSG00000198625	ENSG00000103495	0.114478	0.00555618	1	-2.46705
ENSG00000198625	ENSG00000167208	0.0910707	0.101068	1	-2.46705
ENSG00000164975	ENSG00000177663	0.00259425	-0.0784144	1	-2.46705
ENSG00000164975	ENSG00000105568	0.106817	-0.0464621	1	-2.46705
ENSG00000164975	ENSG00000125818	0.0235128	0.155203	1	-2.46705
ENSG00000164975	ENSG00000091592	0.00541779	0.0909983	2	-5.61736
ENSG00000164975	ENSG00000112079	0.135114	-0.0041945	1	-2.46705
ENSG00000164975	ENSG00000113282	0.0115969	0.141756	1	-2.46705
ENSG00000164975	ENSG00000273841	0.0894336	0.108258	2	-5.61736
ENSG00000164975	ENSG00000174953	0.119428	-0.0451372	1	-2.46705
ENSG00000164975	ENSG00000162889	0.124842	0.104747	1	-2.46705
ENSG00000164975	ENSG00000138398	0.000288058	-0.00644938	1	-2.46705
ENSG00000164975	ENSG00000197343	0.18223	-0.0908762	2	-5.61736
ENSG00000164975	ENSG00000183779	0.0885103	-0.033084	1	-2.46705
ENSG00000164975	ENSG00000168300	0.00259425	-0.0471126	1	-2.46705
ENSG00000164975	ENSG00000148411	0.00387704	0.0352952	2	-5.61736
ENSG00000164975	ENSG00000133812	0.00927676	0.129183	1	-2.46705
ENSG00000164975	ENSG00000110422	0.00156882	-0.0627762	1	-2.46705
ENSG00000164975	ENSG00000055950	0.153441	-0.00563145	1	-2.46705
ENSG00000164975	ENSG00000111716	0.130954	-0.033945	2	-5.61736
ENSG00000164975	ENSG00000139679	0.152315	-0.0473291	1	-2.46705
ENSG00000164975	ENSG00000170540	0.00721738	0.0412857	2	-5.61736
ENSG00000186834	ENSG00000141959	0.0395821	0.0792139	1	-2.46705
ENSG00000184990	ENSG00000157557	0.102602	-0.0432464	1	-2.46705
ENSG00000184990	ENSG00000179262	0.0115969	0.0849425	1	-2.46705
ENSG00000184990	ENSG00000067900	0.00387704	0.0863165	1	-2.46705
ENSG00000184990	ENSG00000108424	0.0596288	-0.0482316	1	-2.46705
ENSG00000184990	ENSG00000161929	0.0946159	0.0507606	1	-2.46705
ENSG00000184990	ENSG00000118482	0.0486351	0.014227	1	-2.46705
ENSG00000184990	ENSG00000112079	0.0822161	0.0728656	1	-2.46705
ENSG00000184990	ENSG00000204619	0.0632308	-0.0198374	1	-2.46705
ENSG00000184990	ENSG00000186470	0.0476434	0.11124	1	-2.46705
ENSG00000184990	ENSG00000095015	0.00259425	0.108697	1	-2.46705
ENSG00000184990	ENSG00000138768	0.118445	0.0188774	2	-5.61736
ENSG00000184990	ENSG00000090989	0.0326092	-0.0391874	1	-2.46705
ENSG00000184990	ENSG00000065135	0.107444	0.0955787	1	-2.46705
ENSG00000184990	ENSG00000117748	0.101918	-0.0789528	1	-2.46705
ENSG00000184990	ENSG00000075426	0.0182256	-0.0479643	1	-2.46705
ENSG00000184990	ENSG00000147010	0.0961663	-0.0484673	1	-2.46705
ENSG00000184990	ENSG00000078674	0.00721738	-0.116049	1	-2.46705
ENSG00000184990	ENSG00000110057	0.000288058	-0.0397934	1	-2.46705
ENSG00000184990	ENSG00000111729	0.00156882	0.0442241	1	-2.46705
ENSG00000184990	ENSG00000119707	0.000800181	-0.0472155	1	-2.46705
ENSG00000179583	ENSG00000135837	0.00387704	0.0579024	1	-2.46705
ENSG00000179583	ENSG00000116898	0.0702464	-0.104084	1	-2.46705
ENSG00000179583	ENSG00000177697	0.0115969	0.130403	1	-2.46705
ENSG00000173575	ENSG00000167613	0.00259425	-0.0676031	1	-2.46705
ENSG00000173575	ENSG00000184060	0.0617632	-0.0883502	1	-2.46705
ENSG00000173575	ENSG00000169826	0.125977	0.028817	2	-5.61736
ENSG00000173575	ENSG00000055950	0.000288058	0.0129998	2	-5.61736
ENSG00000173575	ENSG00000138172	0.000800181	0.0597041	1	-2.46705
ENSG00000173575	ENSG00000139163	3.20002e-05	-0.0282317	1	-2.46705
ENSG00000173575	ENSG00000140548	0.00541779	-0.106094	1	-2.46705
ENSG00000168264	ENSG00000012660	0.00541779	0.127541	1	-2.46705
ENSG00000168264	ENSG00000112079	0.0617458	0.12512	1	-2.46705
ENSG00000168264	ENSG00000273841	0.0856136	-0.0744254	1	-2.46705
ENSG00000168264	ENSG00000134330	0.000800181	0.0624644	1	-2.46705
ENSG00000168264	ENSG00000100941	0.144443	-0.127506	1	-2.46705
ENSG00000164985	ENSG00000124541	0.00156882	-0.058847	1	-2.46705
ENSG00000164985	ENSG00000076053	0.00259425	-0.047333	1	-2.46705
ENSG00000163563	ENSG00000143546	0.0661645	0.395211	1	-2.46705
ENSG00000163563	ENSG00000090382	0.207925	0.59008	8	-30.6405
ENSG00000148572	ENSG00000142409	0.112025	-0.0739492	1	-2.46705
ENSG00000148572	ENSG00000245848	0.0370745	0.108987	1	-2.46705
ENSG00000148572	ENSG00000118046	0.0935748	0.104651	1	-2.46705
ENSG00000148572	ENSG00000108424	0.153209	0.0957439	1	-2.46705
ENSG00000148572	ENSG00000120709	0.0878172	0.0424269	1	-2.46705
ENSG00000148572	ENSG00000137462	0.000800181	0.0221537	1	-2.46705
ENSG00000148572	ENSG00000134256	0.017977	-0.00681649	1	-2.46705
ENSG00000148572	ENSG00000187608	0.106945	0.0292624	1	-2.46705
ENSG00000148572	ENSG00000168906	0.00259425	0.02835	1	-2.46705
ENSG00000148572	ENSG00000084090	0.0928059	0.0616748	1	-2.46705
ENSG00000148572	ENSG00000182095	0.106685	-0.0248602	2	-5.61736
ENSG00000148572	ENSG00000147140	0.0183633	-0.0455919	1	-2.46705
ENSG00000148572	ENSG00000083168	0.0375034	0.0527114	1	-2.46705
ENSG00000148572	ENSG00000253729	0.00721738	0.0943499	1	-2.46705
ENSG00000148572	ENSG00000172172	0.0173112	-0.042718	1	-2.46705
ENSG00000148572	ENSG00000214753	0.0761919	0.0080768	2	-5.61736
ENSG00000148572	ENSG00000169826	0.031374	0.124997	1	-2.46705
ENSG00000148572	ENSG00000266412	0.0436698	-0.0931979	1	-2.46705
ENSG00000148572	ENSG00000166226	0.0947443	0.0288684	1	-2.46705
ENSG00000148411	ENSG00000071859	0.00387704	0.0925075	1	-2.46705
ENSG00000148411	ENSG00000164975	0.00387704	0.0352952	2	-5.61736
ENSG00000148411	ENSG00000171988	0.0141791	0.112543	1	-2.46705
ENSG00000148411	ENSG00000166411	0.133968	0.0417296	1	-2.46705
ENSG00000147140	ENSG00000090013	0.00259425	-0.0411996	1	-2.46705
ENSG00000147140	ENSG00000091640	0.00156882	0.0812185	1	-2.46705
ENSG00000147140	ENSG00000168918	0.106894	0.11824	1	-2.46705
ENSG00000147140	ENSG00000166340	0.000288058	-0.0268224	1	-2.46705
ENSG00000147140	ENSG00000054967	0.00541779	-0.0230799	1	-2.46705
ENSG00000147140	ENSG00000148572	0.0183633	-0.0455919	1	-2.46705
ENSG00000147140	ENSG00000169032	0.000800181	0.0507407	1	-2.46705
ENSG00000136100	ENSG00000171940	0.00259425	-0.0102073	1	-2.46705
ENSG00000136100	ENSG00000132471	0.00156882	-0.0278708	1	-2.46705
ENSG00000136100	ENSG00000118482	0.00259425	0.0894331	2	-5.61736
ENSG00000136100	ENSG00000133398	0.000800181	-0.00417991	1	-2.46705
ENSG00000136100	ENSG00000168769	0.0751961	0.0393334	2	-5.61736
ENSG00000136100	ENSG00000081154	0.00156882	0.0679841	2	-5.61736
ENSG00000136100	ENSG00000085832	0.0170248	0.121536	1	-2.46705
ENSG00000136100	ENSG00000144136	3.20002e-05	-0.103978	2	-5.61736
ENSG00000136100	ENSG00000095370	0.183383	0.016796	1	-2.46705
ENSG00000136100	ENSG00000148290	0.00156882	-0.00921807	1	-2.46705
ENSG00000136100	ENSG00000111716	0.123725	-0.103376	4	-13.0594
ENSG00000136100	ENSG00000139725	0.169136	-0.0264507	4	-13.0594
ENSG00000136100	ENSG00000120686	3.20002e-05	-0.034597	1	-2.46705
ENSG00000136100	ENSG00000139746	0.233337	-0.00977027	4	-13.0594
ENSG00000133773	ENSG00000105677	0.00259425	0.0287755	1	-2.46705
ENSG00000133773	ENSG00000257103	0.00387704	0.0424054	1	-2.46705
ENSG00000133773	ENSG00000129355	0.157876	-0.0176217	5	-17.1758
ENSG00000133773	ENSG00000141232	0.00927676	0.0221468	1	-2.46705
ENSG00000133773	ENSG00000108788	0.0235128	0.206174	2	-5.61736
ENSG00000133773	ENSG00000091640	0.00721738	0.110947	1	-2.46705
ENSG00000133773	ENSG00000197323	0.189999	0.063323	2	-5.61736
ENSG00000133773	ENSG00000117758	0.0863788	0.0117487	1	-2.46705
ENSG00000133773	ENSG00000144579	0.135522	-0.0326424	1	-2.46705
ENSG00000133773	ENSG00000102030	0.178916	-0.0381491	3	-9.18577
ENSG00000133773	ENSG00000147459	0.000800181	0.0478353	1	-2.46705
ENSG00000133773	ENSG00000169826	0.0160551	-0.0666454	1	-2.46705
ENSG00000133773	ENSG00000176463	0.0814795	0.0596319	1	-2.46705
ENSG00000133773	ENSG00000196502	3.20002e-05	-0.0549156	1	-2.46705
ENSG00000133773	ENSG00000176953	0.205132	0.0317001	1	-2.46705
ENSG00000125107	ENSG00000143570	0.0713463	0.071126	1	-2.46705
ENSG00000124422	ENSG00000007202	0.0569926	0.0167899	1	-2.46705
ENSG00000124422	ENSG00000133398	3.20002e-05	-0.0171301	1	-2.46705
ENSG00000124422	ENSG00000126698	0.025766	0.0143323	1	-2.46705
ENSG00000124422	ENSG00000134644	0.130271	-0.0887135	1	-2.46705
ENSG00000124422	ENSG00000069974	0.160971	0.0237435	2	-5.61736
ENSG00000119403	ENSG00000183864	0.00259425	-0.0129975	1	-2.46705
ENSG00000119403	ENSG00000108523	0.0944464	-0.0120298	1	-2.46705
ENSG00000119403	ENSG00000131504	0.00156882	-0.000680075	1	-2.46705
ENSG00000119403	ENSG00000198625	0.00259425	0.0785796	1	-2.46705
ENSG00000119403	ENSG00000135956	0.0377894	0.0100176	1	-2.46705
ENSG00000119403	ENSG00000092820	0.0440972	0.175457	1	-2.46705
ENSG00000119403	ENSG00000187257	0.0721316	-0.0101535	1	-2.46705
ENSG00000119403	ENSG00000165175	0.0789898	-0.0369671	1	-2.46705
ENSG00000119403	ENSG00000198879	0.00259425	0.0197168	1	-2.46705
ENSG00000119403	ENSG00000139132	0.0279205	-0.119985	1	-2.46705
ENSG00000119403	ENSG00000100599	0.11327	-0.0137086	1	-2.46705
ENSG00000119403	ENSG00000089902	0.102394	-0.0397481	1	-2.46705
ENSG00000182606	ENSG00000168000	0.00927676	-0.0140934	1	-2.46705
ENSG00000111912	ENSG00000126062	0.00541779	-0.0227128	1	-2.46705
ENSG00000108654	ENSG00000104918	0.076592	-0.149201	1	-2.46705
ENSG00000108509	ENSG00000172795	3.20002e-05	-0.0694433	1	-2.46705
ENSG00000100823	ENSG00000032444	0.0282943	0.0742941	1	-2.46705
ENSG00000100823	ENSG00000166562	0.00156882	0.00587184	1	-2.46705
ENSG00000100823	ENSG00000178996	0.136438	-0.0184818	1	-2.46705
ENSG00000100823	ENSG00000138674	0.00259425	0.018693	1	-2.46705
ENSG00000100823	ENSG00000174953	0.0973704	-0.0232996	1	-2.46705
ENSG00000100823	ENSG00000188641	0.106439	0.130347	1	-2.46705
ENSG00000100823	ENSG00000171608	0.00387704	0.0671707	1	-2.46705
ENSG00000100823	ENSG00000115464	0.00541779	-0.014085	1	-2.46705
ENSG00000100823	ENSG00000172845	3.20002e-05	0.0551014	1	-2.46705
ENSG00000100823	ENSG00000127837	0.00259425	-0.0010011	2	-5.61736
ENSG00000100823	ENSG00000129103	0.0845022	-0.0734208	1	-2.46705
ENSG00000100823	ENSG00000105939	0.000288058	-0.00179062	1	-2.46705
ENSG00000100823	ENSG00000176853	0.0940794	-0.0946579	1	-2.46705
ENSG00000100823	ENSG00000148290	0.137907	0.0403932	1	-2.46705
ENSG00000100823	ENSG00000132274	0.00156882	0.0227405	1	-2.46705
ENSG00000100823	ENSG00000110442	0.0816397	0.0923009	1	-2.46705
ENSG00000100823	ENSG00000156587	0.201018	8.40973e-05	4	-13.0594
ENSG00000100823	ENSG00000148688	0.000288058	0.0150104	1	-2.46705
ENSG00000100823	ENSG00000170653	0.0195721	0.16331	1	-2.46705
ENSG00000100823	ENSG00000187555	0.00541779	0.0349887	1	-2.46705
ENSG00000100823	ENSG00000196502	0.00387704	0.0558756	1	-2.46705
ENSG00000100823	ENSG00000176953	0.17102	0.0166286	3	-9.18577
ENSG00000100603	ENSG00000205581	0.00541779	-0.190899	1	-2.46705
ENSG00000100603	ENSG00000105568	0.0141791	0.0532966	3	-9.18577
ENSG00000100603	ENSG00000099875	0.108539	0.0609299	3	-9.18577
ENSG00000100603	ENSG00000197971	0.0115969	0.029992	1	-2.46705
ENSG00000100603	ENSG00000141543	0.147765	0.00993539	2	-5.61736
ENSG00000100603	ENSG00000141504	0.0788664	0.0310419	1	-2.46705
ENSG00000100603	ENSG00000118418	0.000288058	0.0362083	1	-2.46705
ENSG00000100603	ENSG00000125347	0.0159208	0.135621	1	-2.46705
ENSG00000100603	ENSG00000153395	3.20002e-05	0.0175172	1	-2.46705
ENSG00000100603	ENSG00000138674	0.243015	-0.0985103	5	-17.1758
ENSG00000100603	ENSG00000065135	0.0192246	0.00951529	1	-2.46705
ENSG00000100603	ENSG00000106605	0.00156882	0.158875	1	-2.46705
ENSG00000100603	ENSG00000104518	0.142685	-0.0138638	1	-2.46705
ENSG00000100603	ENSG00000080503	0.088887	0.0640173	1	-2.46705
ENSG00000100603	ENSG00000119396	0.00259425	0.0990302	1	-2.46705
ENSG00000100603	ENSG00000133812	0.0855215	0.0398971	1	-2.46705
ENSG00000100603	ENSG00000110442	0.103904	0.0163829	1	-2.46705
ENSG00000100603	ENSG00000166181	0.158885	0.0865746	4	-13.0594
ENSG00000100603	ENSG00000109920	0.147502	0.134301	2	-5.61736
ENSG00000100603	ENSG00000148700	0.0191441	-0.154302	1	-2.46705
ENSG00000100603	ENSG00000111729	0.00156882	0.0444883	1	-2.46705
ENSG00000100603	ENSG00000130779	0.0201356	0.065849	1	-2.46705
ENSG00000100603	ENSG00000134905	0.00259425	-0.0911427	1	-2.46705
ENSG00000100603	ENSG00000187555	0.101296	0.0600113	1	-2.46705
ENSG00000100201	ENSG00000125827	0.0156662	0.0275221	1	-2.46705
ENSG00000124177	ENSG00000137504	0.103472	0.190703	1	-2.46705
ENSG00000089902	ENSG00000184787	0.00387704	0.0687068	1	-2.46705
ENSG00000089902	ENSG00000133313	0.0484143	0.172252	1	-2.46705
ENSG00000089902	ENSG00000119403	0.102394	-0.0397481	1	-2.46705
ENSG00000066427	ENSG00000005700	0.00541779	0.124005	1	-2.46705
ENSG00000066427	ENSG00000110057	0.00259425	-0.0139613	1	-2.46705
ENSG00000245848	ENSG00000181481	0.0929227	0.0490794	1	-2.46705
ENSG00000245848	ENSG00000148572	0.0370745	0.108987	1	-2.46705
ENSG00000221869	ENSG00000169704	0.124283	0.322164	1	-2.46705
ENSG00000221869	ENSG00000132485	0.000800181	-0.00133673	2	-5.61736
ENSG00000221869	ENSG00000127824	0.0194573	0.0989764	1	-2.46705
ENSG00000221869	ENSG00000002586	3.20002e-05	0.057513	1	-2.46705
ENSG00000198265	ENSG00000141867	0.137705	-0.0193612	2	-5.61736
ENSG00000198265	ENSG00000112245	0.000288058	-0.0562143	1	-2.46705
ENSG00000198265	ENSG00000166226	0.00927676	0.0582564	1	-2.46705
ENSG00000198265	ENSG00000005339	0.0197893	0.0515478	1	-2.46705
ENSG00000185650	ENSG00000198053	0.0239297	0.212081	1	-2.46705
ENSG00000147044	ENSG00000162843	0.000288058	-0.020994	1	-2.46705
ENSG00000197451	ENSG00000171940	0.00259425	0.0413394	1	-2.46705
ENSG00000197451	ENSG00000108953	0.00387704	-0.031601	1	-2.46705
ENSG00000197451	ENSG00000114861	3.20002e-05	0.0353359	1	-2.46705
ENSG00000197451	ENSG00000162804	0.0225419	0.0334135	1	-2.46705
ENSG00000197451	ENSG00000130779	0.000288058	-0.0119107	1	-2.46705
ENSG00000197451	ENSG00000196502	0.162023	-0.0288654	3	-9.18577
ENSG00000180776	ENSG00000124226	0.00387704	-0.100634	1	-2.46705
ENSG00000180776	ENSG00000132274	0.0806728	-0.0184496	1	-2.46705
ENSG00000144744	ENSG00000089006	3.20002e-05	-0.0451695	6	-21.4951
ENSG00000144744	ENSG00000068079	0.102292	-0.113967	1	-2.46705
ENSG00000144744	ENSG00000112245	0.000800181	-0.0151118	1	-2.46705
ENSG00000144744	ENSG00000204569	0.0716245	-0.00950377	2	-5.61736
ENSG00000144744	ENSG00000198015	0.185567	0.160526	2	-5.61736
ENSG00000144744	ENSG00000197006	3.20002e-05	0.0282571	1	-2.46705
ENSG00000173894	ENSG00000103061	0.00156882	-0.0113263	1	-2.46705
ENSG00000163939	ENSG00000167615	0.0855476	0.0356938	2	-5.61736
ENSG00000163939	ENSG00000105438	0.00541779	-0.0420598	1	-2.46705
ENSG00000163939	ENSG00000051620	0.000288058	-0.050809	1	-2.46705
ENSG00000163939	ENSG00000135317	0.112176	-0.00176988	1	-2.46705
ENSG00000163939	ENSG00000181631	0.111422	0.0550438	2	-5.61736
ENSG00000163939	ENSG00000114573	0.0568372	0.0973344	1	-2.46705
ENSG00000163939	ENSG00000162604	0.00156882	-0.0232566	1	-2.46705
ENSG00000163939	ENSG00000115919	0.0201875	0.0306471	1	-2.46705
ENSG00000163939	ENSG00000241399	0.000800181	0.0242396	1	-2.46705
ENSG00000163939	ENSG00000104518	0.00541779	0.0133024	3	-9.18577
ENSG00000163939	ENSG00000068831	0.000288058	0.082809	1	-2.46705
ENSG00000172216	ENSG00000196154	0.130543	0.356959	2	-5.61736
ENSG00000172216	ENSG00000197249	0.0814527	0.301981	1	-2.46705
ENSG00000172262	ENSG00000169727	0.00387704	0.0254853	1	-2.46705
ENSG00000172262	ENSG00000068079	0.000288058	-0.0427188	1	-2.46705
ENSG00000172262	ENSG00000143033	0.00259425	-0.009748	1	-2.46705
ENSG00000172262	ENSG00000120949	0.00259425	0.0137793	1	-2.46705
ENSG00000172262	ENSG00000214753	0.00156882	-0.0112034	1	-2.46705
ENSG00000171163	ENSG00000006652	0.0376517	0.110669	1	-2.46705
ENSG00000169131	ENSG00000134352	0.0790296	0.140266	1	-2.46705
ENSG00000171988	ENSG00000188677	0.105649	0.0267211	1	-2.46705
