regulator.values	target.values	mi.values	scc.values	count.values	log.p.values
ENSG00000221978	ENSG00000137504	0.0646653	0.0779444	1	-2.46705
ENSG00000198879	ENSG00000141429	3.20002e-05	-0.0370677	1	-2.46705
ENSG00000198879	ENSG00000108405	0.150053	-0.0327231	1	-2.46705
ENSG00000198879	ENSG00000118482	0.000800181	0.0638568	1	-2.46705
ENSG00000198879	ENSG00000146223	0.000800181	-0.0244147	1	-2.46705
ENSG00000198879	ENSG00000119403	0.00259425	0.0197168	1	-2.46705
ENSG00000198879	ENSG00000166333	0.0272312	-0.141932	1	-2.46705
ENSG00000198879	ENSG00000080823	0.00259425	-0.0491032	1	-2.46705
ENSG00000198879	ENSG00000166946	0.0764541	0.0440505	1	-2.46705
ENSG00000183576	ENSG00000141510	0.0377488	-0.0700761	1	-2.46705
ENSG00000183576	ENSG00000002933	0.00156882	0.0815687	1	-2.46705
ENSG00000183576	ENSG00000103495	0.00387704	0.0713871	1	-2.46705
ENSG00000179632	ENSG00000100034	0.095048	-0.0258302	1	-2.46705
ENSG00000179632	ENSG00000167460	0.00259425	0.0767225	1	-2.46705
ENSG00000179632	ENSG00000124226	0.0252079	-0.0896566	1	-2.46705
ENSG00000179632	ENSG00000082397	0.00387704	-0.0643974	1	-2.46705
ENSG00000179632	ENSG00000141367	0.0988012	0.0186615	1	-2.46705
ENSG00000179632	ENSG00000091592	0.135722	-0.0563057	2	-5.61736
ENSG00000179632	ENSG00000118855	0.143006	0.114208	1	-2.46705
ENSG00000179632	ENSG00000160710	0.0496042	-0.0438462	1	-2.46705
ENSG00000179632	ENSG00000066136	0.00156882	-0.0759998	1	-2.46705
ENSG00000177200	ENSG00000155329	0.00156882	0.0424569	1	-2.46705
ENSG00000177200	ENSG00000138674	0.0888404	-0.0833743	1	-2.46705
ENSG00000177200	ENSG00000139921	3.20002e-05	-0.0151118	1	-2.46705
ENSG00000177200	ENSG00000100605	0.0520874	0.148917	1	-2.46705
ENSG00000176953	ENSG00000141504	0.107494	0.080763	1	-2.46705
ENSG00000176953	ENSG00000133398	0.000800181	-0.0505932	1	-2.46705
ENSG00000176953	ENSG00000114098	0.00156882	-0.0908432	1	-2.46705
ENSG00000176953	ENSG00000173193	0.000800181	0.0374272	1	-2.46705
ENSG00000176953	ENSG00000158710	0.108423	-0.00535266	1	-2.46705
ENSG00000176953	ENSG00000143033	0.00721738	-0.119146	1	-2.46705
ENSG00000176953	ENSG00000065243	0.00721738	0.157198	1	-2.46705
ENSG00000176953	ENSG00000075292	0.0632939	0.0234278	1	-2.46705
ENSG00000176953	ENSG00000187840	0.0406576	0.0378887	1	-2.46705
ENSG00000176953	ENSG00000110422	0.000800181	0.0136065	1	-2.46705
ENSG00000176953	ENSG00000110442	0.143116	-0.119083	4	-13.0594
ENSG00000176953	ENSG00000133318	0.00156882	-0.0400753	1	-2.46705
ENSG00000176953	ENSG00000111729	0.000288058	0.0120735	1	-2.46705
ENSG00000176953	ENSG00000133773	0.205132	0.0317001	1	-2.46705
ENSG00000176953	ENSG00000139372	0.0176124	0.0316394	1	-2.46705
ENSG00000176953	ENSG00000139746	0.138436	0.0109169	1	-2.46705
ENSG00000176953	ENSG00000100823	0.17102	0.0166286	3	-9.18577
ENSG00000173193	ENSG00000152558	0.0245898	0.0965019	1	-2.46705
